,"Number
of states","Average retail
electricity price in
Sep. 2025
across states in
the Eastern and
Western
Interconnects
(Cents/kWh)","Minimum retail
electricity price in
Sep. 2025
across states in
the Eastern and
Western
Interconnects
(Cents/kWh)","Maximum retail
electricity price in
Sep. 2025
across states in
the Eastern and
Western
Interconnects
(Cents/kWh)"
"RTO/ISO in
Eastern and
Western
Interconnects",25.0,21.33,12.36,32.04
"Non-
RTO/ISO in
Eastern and
Western
Interconnects",23.0,14.77,11.95,16.7
