,"Number
of states","Capacity
In 2023
(MW)","% of U.S.
total
capacity
in 2023","Generation
In 2023
(MWh)","% of U.S.
total
generation
in 2023"
RTO/ISO,26,"719,830",57.1%,"2,387,732,203",56.9%
"Non-
RTO/ISO",26,"540,787",42.9%,"1,808,373,819",43.1%
